,index,ref,ref_p5,ref_p95,2050laag,2050laag_p5,2050laag_p95,2050hoog,2050hoog_p5,2050hoog_p95,2100laag,2100laag_p5,2100laag_p95,2100hoog,2100hoog_p5,2100hoog_p95
363,364,40.75,16.0,73.0,29.325,10.0,55.04999999999998,22.2875,5.0,48.0,29.325,10.0,55.04999999999998,7.916666666666667,0.0,20.049999999999983
364,365,40.75,16.0,73.0,29.325,10.0,55.04999999999998,22.2875,5.0,48.0,29.325,10.0,55.04999999999998,7.916666666666667,0.0,20.049999999999983
365,366,42.84583333333333,17.950000000000003,74.0,31.866666666666667,11.950000000000001,58.04999999999998,24.275,6.950000000000001,49.0,31.866666666666667,11.950000000000001,58.04999999999998,8.883333333333333,0.0,22.049999999999983
366,367,46.229166666666664,21.0,77.04999999999998,35.208333333333336,13.950000000000001,61.04999999999998,26.091666666666665,6.950000000000001,51.04999999999998,35.208333333333336,13.950000000000001,61.04999999999998,9.791666666666666,0.0,24.049999999999983
367,368,52.725,26.950000000000003,85.0,41.875,17.0,68.0,30.504166666666666,8.950000000000001,58.04999999999998,41.875,17.0,68.0,11.8125,1.0,27.049999999999983
368,369,52.725,26.950000000000003,85.0,41.875,17.0,68.0,30.504166666666666,8.950000000000001,58.04999999999998,41.875,17.0,68.0,11.8125,1.0,27.049999999999983
369,370,57.375,30.950000000000003,88.0,47.05416666666667,22.0,75.04999999999998,35.05,13.900000000000002,65.0,47.05416666666667,22.0,75.04999999999998,13.870833333333334,1.0,32.0
370,371,18.833333333333332,1.0,42.04999999999998,13.170833333333333,0.0,34.04999999999998,9.654166666666667,0.0,30.0,13.170833333333333,0.0,34.04999999999998,2.625,0.0,11.0
371,372,18.833333333333332,1.0,42.04999999999998,13.170833333333333,0.0,34.04999999999998,9.654166666666667,0.0,30.0,13.170833333333333,0.0,34.04999999999998,2.625,0.0,11.0
372,373,18.6,1.950000000000001,42.04999999999998,12.975,0.0,34.0,9.320833333333333,0.0,29.049999999999983,12.975,0.0,34.0,2.3625,0.0,10.0
373,374,17.841666666666665,1.950000000000001,42.0,12.254166666666666,0.0,33.04999999999998,8.733333333333333,0.0,27.049999999999983,12.254166666666666,0.0,33.04999999999998,2.1708333333333334,0.0,10.0
374,375,17.841666666666665,1.950000000000001,42.0,12.254166666666666,0.0,33.04999999999998,8.733333333333333,0.0,27.049999999999983,12.254166666666666,0.0,33.04999999999998,2.1708333333333334,0.0,10.0
