Jaar,Jaargemiddelde,Trend metingen,Lage uitstootscenario,Lage uitstootscenario-range (low),Lage uitstootscenario-range (high),2050laag,2100laag,Hoge uitstootscenario,Hoge uitstootscenario-range (low),Hoge uitstootscenario-range (high),2050hoog,2100hoog
2037,,,15.923570602895236,10.375398993371682,21.695245625481817,,,17.669828446482917,11.408080401979564,24.36763108386427,,
2038,,,16.542342583250253,10.843495605066948,22.494024667822334,,,18.426964553566975,11.981499749300461,25.365196841181838,,
2039,,,17.145996523976375,11.290701537026507,23.287307948181066,,,19.177995845942224,12.545303857717382,26.364967130346958,,
2040,,,17.76798705996365,11.749619640850643,24.10540269841835,,,19.95408860232605,13.130289773469027,27.401496060352738,,
2041,,,18.396631351088278,12.204071993281861,24.94110188239098,,,20.74541564182801,13.72295765610237,28.461670697076006,,
2042,,,19.02659294500318,12.65510469669794,25.783958806878744,,,21.548900090900947,14.319806679079779,29.54406809257927,,
2043,,,19.644941202906633,13.09037653040334,26.62812206945782,,,22.347811686497714,14.913890496470817,30.629062377902248,,
2044,,,20.280561314840632,13.532463544699148,27.50453881668711,,,23.171504388539592,15.52917417630534,31.75336182150244,,
2045,,,20.9097283612874,13.964138473286589,28.37893286155077,,,24.0001573323922,16.143566208442714,32.89184274466567,,
2046,,,21.539236636495612,14.384826409645395,29.261421317996163,,,24.836707545124455,16.764529540498746,34.04934923488783,,
2047,,,22.16677396099741,14.80407542739621,30.1522075164687,,,25.686995844198456,17.391202476219295,35.227328490529906,,
2048,,,22.795909161017143,15.216045903486915,31.05209912122666,,,26.54485294403627,18.022847634717703,36.42649581361659,,
2049,,,23.42607533594513,15.621323487851352,31.959527901286798,,,27.416342314657356,18.661154740408648,37.64513046662035,,
2050,,,24.066249443897007,16.030339386984323,32.888844197503175,24,,28.308453237120496,19.31457572798022,38.89191545596373,28,
2051,,,24.693990448918704,16.423118770869394,33.80543360851289,,,29.197252762631006,19.962061499045564,40.144052407496325,,
2052,,,25.331982147855243,16.824095605137394,34.748624543069965,,,30.108498422735696,20.632145950063332,41.4371909260246,,
2053,,,25.952297354030836,17.200230148097816,35.68184337018485,,,31.0169851530262,21.294197985621068,42.72923110385779,,
2054,,,26.591078674391397,17.593961266277482,36.63920405199162,,,31.952003613080816,21.979640615893995,44.060862592743796,,
2055,,,27.219551574847273,17.96829823038413,37.589992471284084,,,32.88764701707778,22.66377495421493,45.402632855246694,,
2056,,,27.837183434351996,18.32994086203528,38.53356191833885,,,33.82593412373328,23.345447637533116,46.7502030912343,,
2057,,,28.455621392860614,18.685739132734344,39.48650818805114,,,34.77885017918966,24.040697687062522,48.130553455099495,,
2058,,,29.09469001373278,19.058436120750976,40.4717303748119,,,35.766215332333466,24.763212532417015,49.55212708111729,,
2059,,,29.714534681842984,19.409726862978044,41.43777285940734,,,36.74717419123316,25.477047449281702,50.97294055827033,,
2060,,,30.35128339366122,19.772869053888762,42.43473591296086,,,37.75823790453806,26.213976857384086,52.43647913735411,,
2061,,,30.964365417370225,20.11165610480382,43.40791948330042,,,38.760275132261434,26.942752026233546,53.897670837752756,,
2062,,,31.58728574901845,20.45521360727942,44.39738461820061,,,39.78447466194127,27.69161982463664,55.39386936312183,,
2063,,,32.18654835145377,20.775132330861215,45.36098628303453,,,40.79959154236926,28.427984879501544,56.88300753251546,,
2064,,,32.79258821891838,21.100831944938793,46.34967476427559,,,41.841222831755495,29.182735783295755,58.40544940412409,,
2065,,,33.400671267066855,21.425077913228613,47.34130484571018,,,42.894355177826476,29.95143730978248,59.958370890657264,,
2066,,,33.98799759523217,21.73228446156743,48.3187442492691,,,43.94666378330033,30.714480725263154,61.51575954393625,,
2067,,,34.58125719324793,22.036140197835664,49.31252197757518,,,45.021467491957715,31.494289902879235,63.104564146479966,,
2068,,,35.15289462731997,22.31714595825529,50.2844336485547,,,46.086290367888125,32.26646156711107,64.6889908392661,,
2069,,,35.74426363167073,22.612775254649982,51.27670417909713,,,47.1891018679449,33.06419249408186,66.31807104309739,,
2070,,,36.322814843930956,22.89460482141681,52.261649321738645,,,48.29581040602898,33.865946397727356,67.96531541215757,,
2071,,,36.87466612467526,23.15229838064791,53.228152515831624,,,49.39132259104988,34.65775795854966,69.61199581342478,,
2072,,,37.41967520136674,23.40437592026445,54.18838450539651,,,50.49726395435219,35.454059624896395,71.27720213347293,,
2073,,,37.99949015482821,23.68103636767597,55.1922448447592,,,51.65801641927764,36.29291774361025,73.01172716861686,,
2074,,,38.55077368549914,23.938152479148975,56.172695932547896,,,52.808903919338036,37.11948984229107,74.73226734656866,,
2075,,,39.07672271600369,24.166245533480364,57.12884779273307,,,53.951244964191595,37.93980516812886,76.46829617602242,,
2076,,,39.62034050347693,24.410512066853578,58.10943060621268,,,55.129584104798774,38.78575336405556,78.25064088482692,,
2077,,,40.154787924429655,24.639024965336468,59.088626265022434,,,56.31736829436604,39.63663172459654,80.05043027139453,,
2078,,,40.66125664292797,24.846129869061933,60.03851672013165,,,57.49789667751757,40.475944091595125,81.8477116423224,,
2079,,,41.14796091501857,25.0346107679632,60.9771069517625,,,58.67765156938817,41.30943711834115,83.64987107713483,,
2080,,,41.65418539250711,25.236746694597535,61.93998919379939,,,59.89855923257394,42.174292912088426,85.50740501911366,,
2081,,,42.13856902586937,25.417248248315243,62.89258304778447,,,61.120771903710946,43.03965285315853,87.37631079634467,,
2082,,,42.60599521917526,25.580931813291553,63.829151984514894,,,62.344102391002274,43.89366531821804,89.26010990498666,,
2083,,,43.10326357013108,25.770571848641183,64.80628867601615,,,63.62314327919156,44.793546028792335,91.21117421530803,,
2084,,,43.55223198380142,25.903749651061837,65.73019290781099,,,64.86959598217561,45.659379831854835,93.12990092514201,,
2085,,,43.97848234236307,26.021120895649226,66.64372366480517,,,66.11525128175512,46.52224663920942,95.073016496027,,
2086,,,44.448252047582294,26.17662494596794,67.60714643638255,,,67.432383942947,47.43488353349356,97.094952361842,,
2087,,,44.84347673332434,26.276025626797864,68.49294043456872,,,68.69620420855685,48.2917891171174,99.07132392028484,,
2088,,,45.30580344511423,26.410742647377262,69.46926068426254,,,70.04983617689498,49.220159175681864,101.15074346094893,,
2089,,,45.64489011242165,26.453128889597494,70.31964140199125,,,71.30859802646758,50.05792647540875,103.1386656957401,,
